Node,Depth,Value
root,0,-Infinity
B10,1,-Infinity
B11,1,2
B10,1,2
B2,1,1
B10,1,2
B3,1,1
B10,1,2
B4,1,1
B10,1,2
B5,1,1
B10,1,2
B6,1,1
B10,1,2
B7,1,1
B10,1,2
B8,1,4
B10,1,4
B9,1,1
B10,1,4
root,0,4
B11,1,1
root,0,4
B2,1,0
root,0,4
B3,1,0
root,0,4
B4,1,0
root,0,4
B5,1,0
root,0,4
B6,1,0
root,0,4
B7,1,0
root,0,4
B8,1,0
root,0,4
B9,1,0
root,0,4
